,Abstract_Expressionism,Action_painting,Analytical_Cubism,Art_Nouveau_Modern,Baroque,Color_Field_Painting,Contemporary_Realism,Cubism,Early_Renaissance,Expressionism,Fauvism,High_Renaissance,Impressionism,Mannerism_Late_Renaissance,Minimalism,Naive_Art_Primitivism,New_Realism,Northern_Renaissance,Pointillism,Pop_Art,Post_Impressionism,Realism,Rococo,Romanticism,Symbolism,Synthetic_Cubism,Ukiyo_e
Abstract_Expressionism,34,0,1,24,16,28,4,16,7,62,2,6,83,5,24,21,0,12,0,8,49,67,5,28,27,1,10
Action_painting,1,0,0,2,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,1,3,0,1,0,0,0
Analytical_Cubism,2,0,0,0,0,1,0,0,1,3,0,0,5,0,0,0,0,1,0,0,1,3,0,1,0,0,0
Art_Nouveau_Modern,51,0,0,91,32,25,4,12,8,89,4,14,180,4,23,16,1,17,3,10,70,126,5,54,48,1,17
Baroque,6,0,1,19,133,7,1,8,8,52,2,15,128,19,8,11,1,22,1,4,42,166,43,106,31,1,9
Color_Field_Painting,15,0,1,13,3,37,3,5,3,30,0,1,57,1,24,9,0,5,0,5,9,27,4,15,15,0,2
Contemporary_Realism,5,0,0,9,5,1,3,1,0,9,0,2,21,1,3,1,0,2,0,0,5,16,2,5,6,0,1
Cubism,13,0,3,29,16,6,2,13,5,44,1,6,87,4,8,17,0,5,2,5,44,39,5,22,16,0,6
Early_Renaissance,10,0,0,16,11,10,0,2,11,30,1,3,46,7,6,9,1,10,2,4,30,23,5,21,8,2,3
Expressionism,43,0,2,66,59,40,1,29,16,133,11,13,284,11,30,38,2,28,5,14,121,200,23,97,69,3,18
Fauvism,5,1,0,8,8,2,1,4,2,17,2,0,60,1,1,7,0,2,0,1,19,17,0,7,4,0,3
High_Renaissance,5,0,0,12,23,10,0,3,1,17,2,7,40,5,3,5,0,5,0,1,19,33,16,15,9,0,1
Impressionism,56,0,2,78,73,35,8,26,40,179,14,19,983,18,14,47,3,43,12,18,277,359,31,165,118,3,18
Mannerism_Late_Renaissance,5,0,0,7,38,5,0,3,7,15,1,5,29,8,5,4,0,8,0,3,15,42,13,23,9,0,0
Minimalism,16,0,1,20,6,19,1,2,2,23,0,3,28,2,56,5,0,4,0,7,15,38,5,14,12,0,3
Naive_Art_Primitivism,18,1,0,22,8,14,3,12,4,45,4,3,113,2,15,25,0,14,2,5,52,46,5,31,25,1,9
New_Realism,1,0,0,4,0,0,0,0,0,5,1,0,20,0,0,4,0,4,0,0,7,10,1,4,2,0,0
Northern_Renaissance,26,0,0,22,33,9,2,11,7,43,3,5,96,8,11,8,2,26,2,8,41,85,25,43,30,0,7
Pointillism,2,0,0,2,2,0,1,0,4,6,0,0,36,0,0,2,0,2,2,0,11,12,1,6,4,0,1
Pop_Art,12,0,0,13,7,10,2,5,7,36,3,3,40,2,11,5,1,7,1,5,28,37,3,21,9,1,4
Post_Impressionism,33,1,2,50,35,14,6,21,16,107,7,4,368,12,14,25,4,25,12,11,174,183,13,59,78,2,11
Realism,47,2,0,57,124,19,13,27,18,124,11,19,497,27,16,32,3,31,4,16,136,489,59,193,85,3,21
Rococo,4,0,0,5,56,2,1,4,3,24,1,4,59,11,3,5,3,12,0,5,19,77,48,54,25,0,1
Romanticism,30,0,0,41,104,15,3,15,13,83,2,16,246,11,12,27,5,17,5,15,104,240,42,241,63,1,11
Symbolism,30,1,0,43,31,14,2,11,12,62,4,10,227,8,17,7,3,6,3,10,86,103,12,70,67,1,3
Synthetic_Cubism,0,0,1,1,1,0,0,4,0,3,0,1,9,0,0,1,0,2,0,1,4,5,2,4,1,0,3
Ukiyo_e,6,0,0,16,7,6,1,4,4,22,3,3,48,0,1,5,0,3,1,4,25,25,5,12,16,1,7
