label,img_paths
Analytical_Cubism,extracted/Analytical_Cubism/pablo-picasso_the-aficionado-the-torero-1912.jpg
Realism,extracted/Realism/thomas-eakins_sketch-for-cowboys-in-the-badlands-1888.jpg
Impressionism,extracted/Impressionism/paul-gauguin_hillside-1884.jpg
Fauvism,extracted/Fauvism/pyotr-konchalovsky_spanish-landscape-1910.jpg
Rococo,extracted/Rococo/george-morland_sea-coast-scene-smugglers-1793.jpg
Post_Impressionism,extracted/Post_Impressionism/francisc-sirato_square-in-balcic-1936.jpg
Ukiyo_e,extracted/Ukiyo_e/utagawa-kuniyoshi_legend-the-great-ships-full-of-boys-and-girls-sent-in-search-of-the-immortal-medicine.jpg
Northern_Renaissance,extracted/Northern_Renaissance/hans-memling_triptych-of-the-family-moreel-closed-1484.jpg
Impressionism,extracted/Impressionism/adolf-hitler_the-basler-gate.jpg
Expressionism,extracted/Expressionism/zinaida-serebriakova_moroccan-in-green-1932.jpg
Realism,extracted/Realism/theodore-rousseau_a-waterfall-in-thiers-1830.jpg
Realism,extracted/Realism/theodore-rousseau_view-of-the-plain-of-montmartre-x-effect-of-storm-1848.jpg
Realism,extracted/Realism/aleksey-savrasov_twilight.jpg
Impressionism,extracted/Impressionism/claude-monet_meton-seen-from-cap-martin.jpg
Realism,extracted/Realism/camille-corot_banks-of-a-pond-in-normandy.jpg
Impressionism,extracted/Impressionism/berthe-morisot_venus-at-the-forge-of-vulcan-after-boucher-1884.jpg
Realism,extracted/Realism/henri-fantin-latour_carnations-1.jpg
Realism,extracted/Realism/james-mcneill-whistler_wapping-on-thames.jpg
Symbolism,extracted/Symbolism/james-tissot_samson-slays-a-thousand-men.jpg
Realism,extracted/Realism/ivan-shishkin_bee-families-1884.jpg
Realism,extracted/Realism/ilya-repin_a-fisher-girl-1874.jpg
Impressionism,extracted/Impressionism/camille-pissarro_the-pine-trees-of-louveciennes-1870.jpg
High_Renaissance,extracted/High_Renaissance/titian_do-not-touch-me-1512.jpg
Realism,extracted/Realism/konstantinos-volanakis_moonlit-harbour-of-volos.jpg
Impressionism,extracted/Impressionism/abraham-manievich_flowers.jpg
Art_Nouveau_Modern,extracted/Art_Nouveau_Modern/raphael-kirchner_melisande-1916.jpg
Northern_Renaissance,extracted/Northern_Renaissance/hieronymus-bosch_the-ship-of-fools-1500(1).jpg
Impressionism,extracted/Impressionism/claude-monet_the-seine-near-argenteuil.jpg
Realism,extracted/Realism/konstantin-somov_portrait-of-eugine-lanceray.jpg
Realism,extracted/Realism/ion-andreescu_the-winter.jpg
Romanticism,extracted/Romanticism/pierre-paul-prudhon_venus-und-adonis.jpg
Mannerism_Late_Renaissance,extracted/Mannerism_Late_Renaissance/paolo-veronese_baptism-of-christ.jpg
Expressionism,extracted/Expressionism/toyen_a-girl-with-the-cones.jpg
Fauvism,extracted/Fauvism/ding-yanyong_vase-with-chung-kuel.jpg
Impressionism,extracted/Impressionism/edgar-degas_portrait-of-madame-edmondo-morbilli-born-therese-de-gas.jpg
Impressionism,extracted/Impressionism/william-merritt-chase_the-red-gown.jpg
Contemporary_Realism,extracted/Contemporary_Realism/gilles-aillaud_untitled-1974.jpg
Baroque,extracted/Baroque/adriaen-van-ostade_lawyer-in-his-study.jpg
Early_Renaissance,extracted/Early_Renaissance/sandro-botticelli_calumny-of-apelles(1).jpg
Minimalism,extracted/Minimalism/jo-baer_untitled-1965.jpg
Post_Impressionism,extracted/Post_Impressionism/edouard-cortes_st-martin-3.jpg
Mannerism_Late_Renaissance,extracted/Mannerism_Late_Renaissance/maerten-van-heemskerck_lamentation-on-the-dead-christ-1566.jpg
Symbolism,extracted/Symbolism/nicholas-roerich_sketch-for-light-conquers-darkness-1933.jpg
Symbolism,extracted/Symbolism/nicholas-roerich_monhigan-study-1922-26.jpg
Mannerism_Late_Renaissance,extracted/Mannerism_Late_Renaissance/tintoretto_summer.jpg
Impressionism,extracted/Impressionism/edgar-degas_four-dancers-1900.jpg
Romanticism,extracted/Romanticism/francisco-goya_knife-grinder-1812.jpg
Post_Impressionism,extracted/Post_Impressionism/edouard-vuillard_my-mother.jpg
Realism,extracted/Realism/alexey-venetsianov_portrait-of-nastya-havskaya.jpg
Impressionism,extracted/Impressionism/paul-cezanne_four-bathers.jpg
Post_Impressionism,extracted/Post_Impressionism/paul-gauguin_we-shall-not-go-to-market-today-1892.jpg
Pointillism,extracted/Pointillism/henri-edmond-cross_plage-de-la-vignassa-1892.jpg
Romanticism,extracted/Romanticism/francisco-goya_young-people-laughing-1823.jpg
Realism,extracted/Realism/ilya-repin_portrait-of-painter-and-sculptor-mikhail-osipovich-mikeshin-1888.jpg
Impressionism,extracted/Impressionism/ipolit-strambu_woman-with-umbrella.jpg
Rococo,extracted/Rococo/jean-baptiste-simeon-chardin_portrait-of-a-young-girl-1777.jpg
Baroque,extracted/Baroque/gerrit-dou_self-portrait-2.jpg
Rococo,extracted/Rococo/louise-elisabeth-vigee-le-brun_ekaterina-i-kutuzova-wife-of-russian-field-marshal-m-i-kutuzov-1795.jpg
Realism,extracted/Realism/winslow-homer_the-bridal-path-white-mountains-1868.jpg
Cubism,extracted/Cubism/saul-steinberg_head-1929.jpg
Realism,extracted/Realism/edouard-manet_a-brioche-1870.jpg
Realism,extracted/Realism/pablo-picasso_plaster-male-torso-1893.jpg
Expressionism,extracted/Expressionism/natalia-goncharova_liturgy-sketch-of-a-costume.jpg
Pop_Art,extracted/Pop_Art/roy-lichtenstein_kitchen-range-1962(1).jpg
Post_Impressionism,extracted/Post_Impressionism/vincent-van-gogh_the-cafe-terrace-on-the-place-du-forum-arles-at-night-1888.jpg
Impressionism,extracted/Impressionism/eugene-boudin_laundresses-on-the-banks-of-the-touques-1.jpg
Impressionism,extracted/Impressionism/pierre-auguste-renoir_bust-of-a-young-girl-in-a-straw-hat-1917.jpg
